"20-30mM-1_CB0mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.0617
301.00	0.0617
302.00	0.0616
303.00	0.0614
304.00	0.0610
305.00	0.0606
306.00	0.0604
307.00	0.0602
308.00	0.0605
309.00	0.0607
310.00	0.0603
311.00	0.0595
312.00	0.0594
313.00	0.0588
314.00	0.0586
315.00	0.0589
316.00	0.0593
317.00	0.0590
318.00	0.0589
319.00	0.0586
320.00	0.0583
321.00	0.0583
322.00	0.0582
323.00	0.0582
324.00	0.0583
325.00	0.0584
326.00	0.0585
327.00	0.0588
328.00	0.0590
329.00	0.0592
330.00	0.0591
331.00	0.0587
332.00	0.0579
333.00	0.0581
334.00	0.0583
335.00	0.0587
336.00	0.0598
337.00	0.0616
338.00	0.0628
339.00	0.0632
340.00	0.0639
341.00	0.0643
342.00	0.0643
343.00	0.0641
344.00	0.0646
345.00	0.0651
346.00	0.0656
347.00	0.0661
348.00	0.0663
349.00	0.0669
350.00	0.0673
351.00	0.0680
352.00	0.0687
353.00	0.0696
354.00	0.0702
355.00	0.0707
356.00	0.0711
357.00	0.0714
358.00	0.0717
359.00	0.0721
360.00	0.0723
361.00	0.0725
362.00	0.0723
363.00	0.0733
364.00	0.0743
365.00	0.0759
366.00	0.0777
367.00	0.0804
368.00	0.0807
369.00	0.0811
370.00	0.0812
371.00	0.0811
372.00	0.0804
373.00	0.0811
374.00	0.0818
375.00	0.0825
376.00	0.0834
377.00	0.0842
378.00	0.0851
379.00	0.0857
380.00	0.0863
381.00	0.0867
382.00	0.0869
383.00	0.0876
384.00	0.0885
385.00	0.0895
386.00	0.0908
387.00	0.0923
388.00	0.0933
389.00	0.0943
390.00	0.0952
391.00	0.0962
392.00	0.0972
393.00	0.0983
394.00	0.0995
395.00	0.1007
396.00	0.1018
397.00	0.1027
398.00	0.1036
399.00	0.1046
400.00	0.1057
401.00	0.1070
402.00	0.1085
403.00	0.1098
404.00	0.1109
405.00	0.1121
406.00	0.1131
407.00	0.1142
408.00	0.1153
409.00	0.1165
410.00	0.1177
411.00	0.1190
412.00	0.1203
413.00	0.1216
414.00	0.1230
415.00	0.1244
416.00	0.1259
417.00	0.1274
418.00	0.1289
419.00	0.1304
420.00	0.1320
421.00	0.1338
422.00	0.1355
423.00	0.1372
424.00	0.1387
425.00	0.1400
426.00	0.1415
427.00	0.1430
428.00	0.1447
429.00	0.1465
430.00	0.1484
431.00	0.1504
432.00	0.1522
433.00	0.1540
434.00	0.1559
435.00	0.1578
436.00	0.1596
437.00	0.1615
438.00	0.1637
439.00	0.1659
440.00	0.1682
441.00	0.1704
442.00	0.1725
443.00	0.1745
444.00	0.1765
445.00	0.1786
446.00	0.1809
447.00	0.1834
448.00	0.1859
449.00	0.1885
450.00	0.1912
451.00	0.1940
452.00	0.1964
453.00	0.1990
454.00	0.2016
455.00	0.2043
456.00	0.2069
457.00	0.2097
458.00	0.2123
459.00	0.2151
460.00	0.2179
461.00	0.2206
462.00	0.2235
463.00	0.2261
464.00	0.2288
465.00	0.2314
466.00	0.2340
467.00	0.2366
468.00	0.2394
469.00	0.2418
470.00	0.2444
471.00	0.2469
472.00	0.2494
473.00	0.2519
474.00	0.2547
475.00	0.2574
476.00	0.2601
477.00	0.2630
478.00	0.2659
479.00	0.2688
480.00	0.2717
481.00	0.2744
482.00	0.2769
483.00	0.2794
484.00	0.2818
485.00	0.2840
486.00	0.2863
487.00	0.2887
488.00	0.2909
489.00	0.2930
490.00	0.2953
491.00	0.2975
492.00	0.2998
493.00	0.3020
494.00	0.3041
495.00	0.3062
496.00	0.3081
497.00	0.3100
498.00	0.3120
499.00	0.3139
500.00	0.3159
501.00	0.3179
502.00	0.3198
503.00	0.3217
504.00	0.3236
505.00	0.3253
506.00	0.3269
507.00	0.3284
508.00	0.3299
509.00	0.3314
510.00	0.3327
511.00	0.3342
512.00	0.3355
513.00	0.3367
514.00	0.3378
515.00	0.3386
516.00	0.3393
517.00	0.3400
518.00	0.3403
519.00	0.3405
520.00	0.3409
521.00	0.3413
522.00	0.3417
523.00	0.3421
524.00	0.3422
525.00	0.3419
526.00	0.3416
527.00	0.3411
528.00	0.3407
529.00	0.3405
530.00	0.3405
531.00	0.3409
532.00	0.3405
533.00	0.3401
534.00	0.3395
535.00	0.3390
536.00	0.3379
537.00	0.3376
538.00	0.3372
539.00	0.3371
540.00	0.3366
541.00	0.3363
542.00	0.3361
543.00	0.3358
544.00	0.3356
545.00	0.3353
546.00	0.3349
547.00	0.3345
548.00	0.3341
549.00	0.3334
550.00	0.3328
551.00	0.3321
552.00	0.3313
553.00	0.3304
554.00	0.3292
555.00	0.3278
556.00	0.3265
557.00	0.3246
558.00	0.3226
559.00	0.3208
560.00	0.3186
561.00	0.3160
562.00	0.3139
563.00	0.3116
564.00	0.3089
565.00	0.3061
566.00	0.3033
567.00	0.3000
568.00	0.2968
569.00	0.2935
570.00	0.2906
571.00	0.2876
572.00	0.2846
573.00	0.2813
574.00	0.2782
575.00	0.2748
576.00	0.2715
577.00	0.2683
578.00	0.2653
579.00	0.2624
580.00	0.2598
581.00	0.2572
582.00	0.2547
583.00	0.2524
584.00	0.2500
585.00	0.2477
586.00	0.2456
587.00	0.2437
588.00	0.2418
589.00	0.2400
590.00	0.2384
591.00	0.2370
592.00	0.2354
593.00	0.2340
594.00	0.2326
595.00	0.2312
596.00	0.2296
597.00	0.2280
598.00	0.2267
599.00	0.2253
600.00	0.2238
601.00	0.2224
602.00	0.2209
603.00	0.2191
604.00	0.2172
605.00	0.2153
606.00	0.2128
607.00	0.2101
608.00	0.2077
609.00	0.2055
610.00	0.2029
611.00	0.2000
612.00	0.1970
613.00	0.1932
614.00	0.1889
615.00	0.1848
616.00	0.1812
617.00	0.1775
618.00	0.1738
619.00	0.1700
620.00	0.1659
621.00	0.1617
622.00	0.1576
623.00	0.1539
624.00	0.1499
625.00	0.1460
626.00	0.1422
627.00	0.1384
628.00	0.1344
629.00	0.1306
630.00	0.1269
631.00	0.1233
632.00	0.1194
633.00	0.1156
634.00	0.1122
635.00	0.1091
636.00	0.1061
637.00	0.1033
638.00	0.1007
639.00	0.0981
640.00	0.0954
641.00	0.0926
642.00	0.0903
643.00	0.0881
644.00	0.0859
645.00	0.0839
646.00	0.0821
647.00	0.0803
648.00	0.0787
649.00	0.0775
650.00	0.0763
651.00	0.0749
652.00	0.0735
653.00	0.0721
