"20-30mM-CB20mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.1379
301.00	0.1394
302.00	0.1408
303.00	0.1425
304.00	0.1437
305.00	0.1449
306.00	0.1462
307.00	0.1480
308.00	0.1502
309.00	0.1523
310.00	0.1540
311.00	0.1555
312.00	0.1574
313.00	0.1591
314.00	0.1610
315.00	0.1635
316.00	0.1661
317.00	0.1681
318.00	0.1705
319.00	0.1726
320.00	0.1747
321.00	0.1765
322.00	0.1785
323.00	0.1802
324.00	0.1821
325.00	0.1841
326.00	0.1861
327.00	0.1881
328.00	0.1901
329.00	0.1920
330.00	0.1937
331.00	0.1949
332.00	0.1958
333.00	0.1975
334.00	0.1993
335.00	0.2013
336.00	0.2038
337.00	0.2067
338.00	0.2085
339.00	0.2103
340.00	0.2121
341.00	0.2136
342.00	0.2152
343.00	0.2171
344.00	0.2187
345.00	0.2204
346.00	0.2218
347.00	0.2232
348.00	0.2243
349.00	0.2255
350.00	0.2264
351.00	0.2276
352.00	0.2286
353.00	0.2296
354.00	0.2306
355.00	0.2316
356.00	0.2327
357.00	0.2338
358.00	0.2348
359.00	0.2356
360.00	0.2364
361.00	0.2368
362.00	0.2368
363.00	0.2377
364.00	0.2387
365.00	0.2399
366.00	0.2412
367.00	0.2432
368.00	0.2440
369.00	0.2451
370.00	0.2463
371.00	0.2480
372.00	0.2486
373.00	0.2494
374.00	0.2499
375.00	0.2503
376.00	0.2502
377.00	0.2509
378.00	0.2518
379.00	0.2527
380.00	0.2537
381.00	0.2549
382.00	0.2561
383.00	0.2576
384.00	0.2591
385.00	0.2605
386.00	0.2620
387.00	0.2634
388.00	0.2646
389.00	0.2658
390.00	0.2672
391.00	0.2687
392.00	0.2701
393.00	0.2715
394.00	0.2726
395.00	0.2737
396.00	0.2747
397.00	0.2757
398.00	0.2766
399.00	0.2776
400.00	0.2786
401.00	0.2798
402.00	0.2811
403.00	0.2827
404.00	0.2842
405.00	0.2859
406.00	0.2875
407.00	0.2891
408.00	0.2905
409.00	0.2920
410.00	0.2934
411.00	0.2947
412.00	0.2958
413.00	0.2968
414.00	0.2978
415.00	0.2986
416.00	0.2995
417.00	0.3002
418.00	0.3007
419.00	0.3008
420.00	0.3009
421.00	0.3007
422.00	0.3004
423.00	0.3000
424.00	0.2996
425.00	0.2992
426.00	0.2987
427.00	0.2984
428.00	0.2980
429.00	0.2977
430.00	0.2974
431.00	0.2972
432.00	0.2970
433.00	0.2968
434.00	0.2967
435.00	0.2966
436.00	0.2963
437.00	0.2958
438.00	0.2950
439.00	0.2942
440.00	0.2934
441.00	0.2926
442.00	0.2920
443.00	0.2915
444.00	0.2909
445.00	0.2902
446.00	0.2896
447.00	0.2890
448.00	0.2883
449.00	0.2879
450.00	0.2876
451.00	0.2875
452.00	0.2876
453.00	0.2879
454.00	0.2881
455.00	0.2885
456.00	0.2888
457.00	0.2892
458.00	0.2897
459.00	0.2902
460.00	0.2908
461.00	0.2915
462.00	0.2922
463.00	0.2926
464.00	0.2932
465.00	0.2936
466.00	0.2941
467.00	0.2945
468.00	0.2952
469.00	0.2956
470.00	0.2960
471.00	0.2964
472.00	0.2967
473.00	0.2971
474.00	0.2975
475.00	0.2980
476.00	0.2985
477.00	0.2991
478.00	0.2995
479.00	0.3000
480.00	0.3005
481.00	0.3008
482.00	0.3012
483.00	0.3016
484.00	0.3018
485.00	0.3021
486.00	0.3023
487.00	0.3025
488.00	0.3024
489.00	0.3024
490.00	0.3024
491.00	0.3022
492.00	0.3022
493.00	0.3023
494.00	0.3023
495.00	0.3022
496.00	0.3022
497.00	0.3021
498.00	0.3021
499.00	0.3022
500.00	0.3023
501.00	0.3022
502.00	0.3022
503.00	0.3020
504.00	0.3018
505.00	0.3016
506.00	0.3013
507.00	0.3009
508.00	0.3006
509.00	0.3001
510.00	0.2994
511.00	0.2988
512.00	0.2981
513.00	0.2972
514.00	0.2964
515.00	0.2955
516.00	0.2946
517.00	0.2937
518.00	0.2926
519.00	0.2916
520.00	0.2906
521.00	0.2897
522.00	0.2887
523.00	0.2876
524.00	0.2865
525.00	0.2852
526.00	0.2841
527.00	0.2829
528.00	0.2819
529.00	0.2813
530.00	0.2809
531.00	0.2795
532.00	0.2783
533.00	0.2771
534.00	0.2756
535.00	0.2738
536.00	0.2730
537.00	0.2720
538.00	0.2709
539.00	0.2698
540.00	0.2685
541.00	0.2673
542.00	0.2663
543.00	0.2653
544.00	0.2645
545.00	0.2636
546.00	0.2627
547.00	0.2616
548.00	0.2607
549.00	0.2595
550.00	0.2586
551.00	0.2577
552.00	0.2567
553.00	0.2557
554.00	0.2545
555.00	0.2534
556.00	0.2525
557.00	0.2515
558.00	0.2507
559.00	0.2499
560.00	0.2490
561.00	0.2480
562.00	0.2471
563.00	0.2463
564.00	0.2453
565.00	0.2444
566.00	0.2434
567.00	0.2423
568.00	0.2412
569.00	0.2403
570.00	0.2395
571.00	0.2388
572.00	0.2383
573.00	0.2375
574.00	0.2363
575.00	0.2349
576.00	0.2334
577.00	0.2316
578.00	0.2303
579.00	0.2293
580.00	0.2282
581.00	0.2271
582.00	0.2260
583.00	0.2248
584.00	0.2235
585.00	0.2222
586.00	0.2210
587.00	0.2198
588.00	0.2186
589.00	0.2174
590.00	0.2161
591.00	0.2147
592.00	0.2133
593.00	0.2120
594.00	0.2108
595.00	0.2096
596.00	0.2083
597.00	0.2070
598.00	0.2058
599.00	0.2046
600.00	0.2034
601.00	0.2022
602.00	0.2011
603.00	0.1998
604.00	0.1985
605.00	0.1974
606.00	0.1962
607.00	0.1950
608.00	0.1940
609.00	0.1930
610.00	0.1920
611.00	0.1909
612.00	0.1898
613.00	0.1886
614.00	0.1874
615.00	0.1865
616.00	0.1857
617.00	0.1851
618.00	0.1842
619.00	0.1834
620.00	0.1824
621.00	0.1814
622.00	0.1806
623.00	0.1802
624.00	0.1797
625.00	0.1792
626.00	0.1787
627.00	0.1779
628.00	0.1774
629.00	0.1771
630.00	0.1769
631.00	0.1765
632.00	0.1759
633.00	0.1750
634.00	0.1741
635.00	0.1734
636.00	0.1729
637.00	0.1726
638.00	0.1724
639.00	0.1722
640.00	0.1718
641.00	0.1715
642.00	0.1714
643.00	0.1712
644.00	0.1710
645.00	0.1708
646.00	0.1706
647.00	0.1704
648.00	0.1703
649.00	0.1703
650.00	0.1703
651.00	0.1704
652.00	0.1705
653.00	0.1705
654.00	0.1705
655.00	0.1707
656.00	0.1706
657.00	0.1706
658.00	0.1706
659.00	0.1707
660.00	0.1706
661.00	0.1706
662.00	0.1706
663.00	0.1706
664.00	0.1704
665.00	0.1705
666.00	0.1704
667.00	0.1704
668.00	0.1703
669.00	0.1704
670.00	0.1713
671.00	0.1718
672.00	0.1720
673.00	0.1725
674.00	0.1730
675.00	0.1724
676.00	0.1725
677.00	0.1726
678.00	0.1727
679.00	0.1729
680.00	0.1728
681.00	0.1732
682.00	0.1737
683.00	0.1741
684.00	0.1742
685.00	0.1747
686.00	0.1747
687.00	0.1748
688.00	0.1748
689.00	0.1750
690.00	0.1748
691.00	0.1754
