"20-30mM-CF20mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.1107
301.00	0.1115
302.00	0.1125
303.00	0.1137
304.00	0.1146
305.00	0.1151
306.00	0.1163
307.00	0.1176
308.00	0.1192
309.00	0.1209
310.00	0.1219
311.00	0.1229
312.00	0.1243
313.00	0.1256
314.00	0.1270
315.00	0.1292
316.00	0.1317
317.00	0.1337
318.00	0.1360
319.00	0.1379
320.00	0.1399
321.00	0.1418
322.00	0.1437
323.00	0.1456
324.00	0.1478
325.00	0.1500
326.00	0.1521
327.00	0.1543
328.00	0.1564
329.00	0.1585
330.00	0.1602
331.00	0.1620
332.00	0.1635
333.00	0.1655
334.00	0.1677
335.00	0.1701
336.00	0.1728
337.00	0.1758
338.00	0.1779
339.00	0.1801
340.00	0.1824
341.00	0.1845
342.00	0.1867
343.00	0.1891
344.00	0.1914
345.00	0.1932
346.00	0.1950
347.00	0.1966
348.00	0.1980
349.00	0.1992
350.00	0.2006
351.00	0.2019
352.00	0.2031
353.00	0.2044
354.00	0.2056
355.00	0.2067
356.00	0.2077
357.00	0.2087
358.00	0.2096
359.00	0.2105
360.00	0.2113
361.00	0.2119
362.00	0.2120
363.00	0.2130
364.00	0.2140
365.00	0.2151
366.00	0.2165
367.00	0.2183
368.00	0.2192
369.00	0.2203
370.00	0.2217
371.00	0.2223
372.00	0.2229
373.00	0.2233
374.00	0.2234
375.00	0.2232
376.00	0.2238
377.00	0.2245
378.00	0.2253
379.00	0.2261
380.00	0.2271
381.00	0.2281
382.00	0.2289
383.00	0.2302
384.00	0.2314
385.00	0.2325
386.00	0.2338
387.00	0.2352
388.00	0.2362
389.00	0.2374
390.00	0.2386
391.00	0.2396
392.00	0.2408
393.00	0.2419
394.00	0.2429
395.00	0.2439
396.00	0.2448
397.00	0.2455
398.00	0.2460
399.00	0.2468
400.00	0.2476
401.00	0.2487
402.00	0.2500
403.00	0.2515
404.00	0.2529
405.00	0.2543
406.00	0.2556
407.00	0.2569
408.00	0.2581
409.00	0.2593
410.00	0.2605
411.00	0.2617
412.00	0.2628
413.00	0.2637
414.00	0.2647
415.00	0.2653
416.00	0.2657
417.00	0.2660
418.00	0.2662
419.00	0.2659
420.00	0.2657
421.00	0.2653
422.00	0.2648
423.00	0.2642
424.00	0.2636
425.00	0.2629
426.00	0.2623
427.00	0.2617
428.00	0.2611
429.00	0.2604
430.00	0.2598
431.00	0.2592
432.00	0.2585
433.00	0.2580
434.00	0.2576
435.00	0.2574
436.00	0.2571
437.00	0.2569
438.00	0.2566
439.00	0.2563
440.00	0.2560
441.00	0.2555
442.00	0.2551
443.00	0.2548
444.00	0.2545
445.00	0.2542
446.00	0.2541
447.00	0.2542
448.00	0.2541
449.00	0.2541
450.00	0.2542
451.00	0.2547
452.00	0.2551
453.00	0.2558
454.00	0.2563
455.00	0.2569
456.00	0.2573
457.00	0.2579
458.00	0.2585
459.00	0.2593
460.00	0.2602
461.00	0.2611
462.00	0.2620
463.00	0.2627
464.00	0.2637
465.00	0.2644
466.00	0.2651
467.00	0.2658
468.00	0.2669
469.00	0.2677
470.00	0.2687
471.00	0.2695
472.00	0.2704
473.00	0.2712
474.00	0.2720
475.00	0.2729
476.00	0.2737
477.00	0.2746
478.00	0.2753
479.00	0.2760
480.00	0.2765
481.00	0.2771
482.00	0.2775
483.00	0.2780
484.00	0.2785
485.00	0.2789
486.00	0.2793
487.00	0.2797
488.00	0.2800
489.00	0.2802
490.00	0.2805
491.00	0.2807
492.00	0.2811
493.00	0.2815
494.00	0.2819
495.00	0.2822
496.00	0.2825
497.00	0.2827
498.00	0.2828
499.00	0.2829
500.00	0.2830
501.00	0.2832
502.00	0.2831
503.00	0.2832
504.00	0.2833
505.00	0.2835
506.00	0.2834
507.00	0.2832
508.00	0.2830
509.00	0.2826
510.00	0.2822
511.00	0.2819
512.00	0.2815
513.00	0.2810
514.00	0.2805
515.00	0.2800
516.00	0.2794
517.00	0.2786
518.00	0.2778
519.00	0.2769
520.00	0.2761
521.00	0.2753
522.00	0.2745
523.00	0.2738
524.00	0.2729
525.00	0.2719
526.00	0.2709
527.00	0.2699
528.00	0.2689
529.00	0.2689
530.00	0.2680
531.00	0.2668
532.00	0.2658
533.00	0.2648
534.00	0.2630
535.00	0.2624
536.00	0.2619
537.00	0.2614
538.00	0.2604
539.00	0.2595
540.00	0.2582
541.00	0.2567
542.00	0.2553
543.00	0.2543
544.00	0.2535
545.00	0.2525
546.00	0.2516
547.00	0.2507
548.00	0.2499
549.00	0.2488
550.00	0.2480
551.00	0.2471
552.00	0.2462
553.00	0.2453
554.00	0.2443
555.00	0.2433
556.00	0.2424
557.00	0.2414
558.00	0.2406
559.00	0.2398
560.00	0.2388
561.00	0.2378
562.00	0.2369
563.00	0.2361
564.00	0.2351
565.00	0.2343
566.00	0.2334
567.00	0.2324
568.00	0.2312
569.00	0.2302
570.00	0.2292
571.00	0.2282
572.00	0.2273
573.00	0.2263
574.00	0.2253
575.00	0.2241
576.00	0.2229
577.00	0.2217
578.00	0.2206
579.00	0.2194
580.00	0.2183
581.00	0.2174
582.00	0.2163
583.00	0.2152
584.00	0.2140
585.00	0.2129
586.00	0.2116
587.00	0.2104
588.00	0.2091
589.00	0.2079
590.00	0.2065
591.00	0.2053
592.00	0.2040
593.00	0.2028
594.00	0.2016
595.00	0.2003
596.00	0.1989
597.00	0.1975
598.00	0.1961
599.00	0.1949
600.00	0.1936
601.00	0.1925
602.00	0.1914
603.00	0.1903
604.00	0.1892
605.00	0.1881
606.00	0.1868
607.00	0.1855
608.00	0.1844
609.00	0.1834
610.00	0.1824
611.00	0.1814
612.00	0.1804
613.00	0.1792
614.00	0.1782
615.00	0.1772
616.00	0.1765
617.00	0.1757
618.00	0.1748
619.00	0.1739
620.00	0.1729
621.00	0.1720
622.00	0.1713
623.00	0.1708
624.00	0.1704
625.00	0.1698
626.00	0.1692
627.00	0.1685
628.00	0.1679
629.00	0.1673
630.00	0.1668
631.00	0.1664
632.00	0.1658
633.00	0.1652
634.00	0.1647
635.00	0.1643
636.00	0.1638
637.00	0.1636
638.00	0.1633
639.00	0.1630
640.00	0.1626
641.00	0.1622
642.00	0.1618
643.00	0.1616
644.00	0.1613
645.00	0.1611
646.00	0.1610
647.00	0.1610
648.00	0.1610
649.00	0.1611
650.00	0.1612
651.00	0.1613
652.00	0.1611
653.00	0.1608
654.00	0.1604
655.00	0.1603
656.00	0.1602
657.00	0.1606
658.00	0.1606
659.00	0.1610
660.00	0.1609
661.00	0.1609
662.00	0.1609
663.00	0.1609
664.00	0.1607
665.00	0.1609
666.00	0.1613
667.00	0.1612
668.00	0.1612
669.00	0.1613
670.00	0.1621
671.00	0.1620
672.00	0.1624
673.00	0.1629
674.00	0.1634
675.00	0.1631
676.00	0.1633
677.00	0.1633
678.00	0.1634
679.00	0.1635
680.00	0.1636
681.00	0.1639
682.00	0.1643
683.00	0.1647
684.00	0.1649
685.00	0.1650
686.00	0.1650
687.00	0.1651
688.00	0.1650
689.00	0.1652
690.00	0.1651
691.00	0.1655
692.00	0.1656
693.00	0.1659
694.00	0.1659
695.00	0.1663
696.00	0.1661
697.00	0.1659
698.00	0.1657
699.00	0.1656
700.00	0.1655
701.00	0.1654
702.00	0.1656
703.00	0.1660
704.00	0.1662
705.00	0.1663
706.00	0.1667
707.00	0.1667
708.00	0.1670
709.00	0.1672
710.00	0.1675
711.00	0.1677
712.00	0.1680
713.00	0.1679
714.00	0.1680
715.00	0.1684
716.00	0.1692
717.00	0.1690
718.00	0.1690
719.00	0.1690
720.00	0.1688
721.00	0.1681
722.00	0.1684
723.00	0.1685
724.00	0.1680
725.00	0.1685
726.00	0.1678
727.00	0.1680
728.00	0.1681
729.00	0.1687
730.00	0.1683
731.00	0.1694
732.00	0.1696
733.00	0.1699
734.00	0.1702
735.00	0.1706
736.00	0.1707
737.00	0.1710
738.00	0.1712
739.00	0.1717
740.00	0.1721
741.00	0.1726
742.00	0.1729
743.00	0.1731
744.00	0.1733
745.00	0.1735
746.00	0.1738
747.00	0.1737
748.00	0.1745
749.00	0.1749
750.00	0.1754
751.00	0.1758
752.00	0.1764
753.00	0.1763
754.00	0.1766
755.00	0.1768
756.00	0.1771
757.00	0.1776
758.00	0.1781
759.00	0.1782
760.00	0.1785
761.00	0.1787
762.00	0.1788
763.00	0.1789
764.00	0.1792
765.00	0.1795
766.00	0.1798
767.00	0.1798
768.00	0.1799
769.00	0.1798
770.00	0.1797
771.00	0.1793
772.00	0.1794
773.00	0.1797
774.00	0.1798
775.00	0.1797
776.00	0.1797
777.00	0.1791
778.00	0.1783
779.00	0.1776
780.00	0.1770
781.00	0.1762
782.00	0.1756
783.00	0.1751
784.00	0.1749
785.00	0.1748
786.00	0.1744
787.00	0.1741
788.00	0.1738
789.00	0.1733
790.00	0.1727
791.00	0.1722
792.00	0.1715
793.00	0.1709
794.00	0.1702
795.00	0.1693
796.00	0.1684
797.00	0.1670
798.00	0.1658
799.00	0.1647
800.00	0.1638
801.00	0.1629
802.00	0.1625
803.00	0.1618
804.00	0.1610
805.00	0.1603
806.00	0.1595
807.00	0.1589
808.00	0.1582
809.00	0.1577
810.00	0.1571
811.00	0.1567
812.00	0.1561
813.00	0.1555
814.00	0.1552
815.00	0.1549
816.00	0.1546
817.00	0.1546
818.00	0.1545
819.00	0.1543
820.00	0.1543
821.00	0.1542
822.00	0.1540
823.00	0.1538
824.00	0.1536
825.00	0.1535
826.00	0.1533
827.00	0.1533
828.00	0.1535
829.00	0.1538
830.00	0.1539
831.00	0.1544
832.00	0.1545
833.00	0.1547
834.00	0.1548
835.00	0.1550
836.00	0.1551
837.00	0.1553
838.00	0.1556
839.00	0.1558
840.00	0.1561
841.00	0.1564
842.00	0.1568
843.00	0.1571
844.00	0.1576
845.00	0.1579
846.00	0.1583
847.00	0.1590
848.00	0.1596
849.00	0.1599
850.00	0.1604
851.00	0.1608
852.00	0.1607
853.00	0.1608
854.00	0.1609
855.00	0.1611
856.00	0.1612
857.00	0.1613
858.00	0.1613
859.00	0.1613
860.00	0.1613
861.00	0.1612
862.00	0.1613
863.00	0.1614
864.00	0.1614
865.00	0.1612
866.00	0.1612
867.00	0.1611
868.00	0.1610
869.00	0.1609
870.00	0.1610
871.00	0.1609
872.00	0.1608
873.00	0.1609
874.00	0.1609
875.00	0.1608
876.00	0.1604
877.00	0.1600
878.00	0.1594
879.00	0.1587
880.00	0.1581
881.00	0.1576
882.00	0.1570
883.00	0.1565
884.00	0.1557
885.00	0.1549
886.00	0.1540
887.00	0.1531
