"20-30mM-1_CF30mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.1286
301.00	0.1297
302.00	0.1307
303.00	0.1318
304.00	0.1327
305.00	0.1336
306.00	0.1344
307.00	0.1356
308.00	0.1371
309.00	0.1385
310.00	0.1392
311.00	0.1398
312.00	0.1408
313.00	0.1417
314.00	0.1427
315.00	0.1444
316.00	0.1461
317.00	0.1475
318.00	0.1486
319.00	0.1501
320.00	0.1512
321.00	0.1524
322.00	0.1534
323.00	0.1547
324.00	0.1556
325.00	0.1568
326.00	0.1578
327.00	0.1588
328.00	0.1596
329.00	0.1605
330.00	0.1613
331.00	0.1618
332.00	0.1618
333.00	0.1627
334.00	0.1638
335.00	0.1650
336.00	0.1667
337.00	0.1687
338.00	0.1700
339.00	0.1712
340.00	0.1725
341.00	0.1736
342.00	0.1747
343.00	0.1758
344.00	0.1769
345.00	0.1781
346.00	0.1792
347.00	0.1803
348.00	0.1811
349.00	0.1821
350.00	0.1830
351.00	0.1840
352.00	0.1852
353.00	0.1863
354.00	0.1873
355.00	0.1881
356.00	0.1889
357.00	0.1896
358.00	0.1905
359.00	0.1911
360.00	0.1918
361.00	0.1923
362.00	0.1924
363.00	0.1936
364.00	0.1949
365.00	0.1966
366.00	0.1983
367.00	0.2005
368.00	0.2015
369.00	0.2030
370.00	0.2045
371.00	0.2066
372.00	0.2077
373.00	0.2089
374.00	0.2099
375.00	0.2107
376.00	0.2111
377.00	0.2126
378.00	0.2141
379.00	0.2157
380.00	0.2174
381.00	0.2191
382.00	0.2207
383.00	0.2226
384.00	0.2246
385.00	0.2265
386.00	0.2286
387.00	0.2309
388.00	0.2328
389.00	0.2346
390.00	0.2366
391.00	0.2383
392.00	0.2401
393.00	0.2419
394.00	0.2438
395.00	0.2456
396.00	0.2473
397.00	0.2489
398.00	0.2504
399.00	0.2520
400.00	0.2536
401.00	0.2554
402.00	0.2572
403.00	0.2593
404.00	0.2612
405.00	0.2631
406.00	0.2649
407.00	0.2667
408.00	0.2684
409.00	0.2702
410.00	0.2719
411.00	0.2737
412.00	0.2752
413.00	0.2765
414.00	0.2778
415.00	0.2787
416.00	0.2794
417.00	0.2799
418.00	0.2803
419.00	0.2806
420.00	0.2808
421.00	0.2806
422.00	0.2803
423.00	0.2799
424.00	0.2793
425.00	0.2785
426.00	0.2780
427.00	0.2773
428.00	0.2767
429.00	0.2762
430.00	0.2758
431.00	0.2754
432.00	0.2751
433.00	0.2750
434.00	0.2749
435.00	0.2749
436.00	0.2748
437.00	0.2748
438.00	0.2745
439.00	0.2743
440.00	0.2739
441.00	0.2737
442.00	0.2736
443.00	0.2739
444.00	0.2740
445.00	0.2742
446.00	0.2744
447.00	0.2745
448.00	0.2745
449.00	0.2747
450.00	0.2750
451.00	0.2753
452.00	0.2758
453.00	0.2765
454.00	0.2770
455.00	0.2778
456.00	0.2785
457.00	0.2793
458.00	0.2800
459.00	0.2808
460.00	0.2817
461.00	0.2825
462.00	0.2835
463.00	0.2842
464.00	0.2852
465.00	0.2861
466.00	0.2870
467.00	0.2877
468.00	0.2888
469.00	0.2895
470.00	0.2904
471.00	0.2912
472.00	0.2920
473.00	0.2926
474.00	0.2933
475.00	0.2941
476.00	0.2948
477.00	0.2956
