"20-30mM-1_THF0mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.1900
301.00	0.1892
302.00	0.1882
303.00	0.1865
304.00	0.1848
305.00	0.1833
306.00	0.1817
307.00	0.1803
308.00	0.1796
309.00	0.1791
310.00	0.1781
311.00	0.1770
312.00	0.1764
313.00	0.1758
314.00	0.1754
315.00	0.1758
316.00	0.1764
317.00	0.1765
318.00	0.1769
319.00	0.1776
320.00	0.1780
321.00	0.1784
322.00	0.1793
323.00	0.1801
324.00	0.1806
325.00	0.1816
326.00	0.1828
327.00	0.1838
328.00	0.1848
329.00	0.1859
330.00	0.1869
331.00	0.1876
332.00	0.1884
333.00	0.1899
334.00	0.1916
335.00	0.1935
336.00	0.1958
337.00	0.1986
338.00	0.2006
339.00	0.2027
340.00	0.2051
341.00	0.2071
342.00	0.2090
343.00	0.2113
344.00	0.2136
345.00	0.2161
346.00	0.2183
347.00	0.2207
348.00	0.2228
349.00	0.2250
350.00	0.2270
351.00	0.2294
352.00	0.2318
353.00	0.2345
354.00	0.2371
355.00	0.2396
356.00	0.2422
357.00	0.2447
358.00	0.2472
359.00	0.2495
360.00	0.2519
361.00	0.2542
362.00	0.2561
363.00	0.2591
364.00	0.2622
365.00	0.2657
366.00	0.2692
367.00	0.2734
368.00	0.2765
369.00	0.2800
370.00	0.2835
371.00	0.2877
372.00	0.2906
373.00	0.2939
374.00	0.2970
375.00	0.2997
376.00	0.3019
377.00	0.3055
378.00	0.3088
379.00	0.3123
380.00	0.3161
381.00	0.3199
382.00	0.3234
383.00	0.3275
384.00	0.3314
385.00	0.3354
386.00	0.3396
387.00	0.3441
388.00	0.3483
389.00	0.3527
390.00	0.3572
391.00	0.3617
392.00	0.3663
393.00	0.3708
394.00	0.3754
395.00	0.3801
396.00	0.3849
397.00	0.3897
398.00	0.3946
399.00	0.3993
400.00	0.4041
401.00	0.4091
402.00	0.4142
403.00	0.4193
404.00	0.4248
405.00	0.4303
406.00	0.4358
407.00	0.4413
408.00	0.4467
409.00	0.4522
410.00	0.4577
411.00	0.4632
412.00	0.4689
413.00	0.4748
414.00	0.4810
415.00	0.4872
416.00	0.4937
417.00	0.5002
418.00	0.5066
419.00	0.5129
420.00	0.5194
421.00	0.5261
422.00	0.5328
423.00	0.5397
424.00	0.5464
425.00	0.5532
426.00	0.5600
427.00	0.5666
428.00	0.5735
429.00	0.5807
430.00	0.5879
431.00	0.5952
432.00	0.6026
433.00	0.6101
434.00	0.6178
435.00	0.6255
436.00	0.6335
437.00	0.6416
438.00	0.6499
439.00	0.6582
440.00	0.6665
441.00	0.6746
442.00	0.6828
443.00	0.6912
444.00	0.6997
445.00	0.7086
446.00	0.7176
447.00	0.7265
448.00	0.7352
449.00	0.7436
450.00	0.7521
451.00	0.7605
452.00	0.7690
453.00	0.7775
454.00	0.7861
455.00	0.7947
456.00	0.8032
457.00	0.8119
458.00	0.8207
459.00	0.8295
460.00	0.8382
461.00	0.8472
462.00	0.8560
463.00	0.8646
464.00	0.8735
465.00	0.8822
466.00	0.8911
467.00	0.8999
468.00	0.9090
469.00	0.9178
470.00	0.9263
471.00	0.9344
472.00	0.9425
473.00	0.9501
474.00	0.9576
475.00	0.9648
476.00	0.9721
477.00	0.9791
478.00	0.9861
479.00	0.9930
480.00	0.9996
481.00	1.0059
482.00	1.0117
483.00	1.0172
484.00	1.0224
485.00	1.0275
486.00	1.0325
487.00	1.0375
488.00	1.0423
489.00	1.0468
490.00	1.0511
491.00	1.0552
492.00	1.0593
493.00	1.0633
494.00	1.0673
495.00	1.0711
496.00	1.0748
497.00	1.0782
498.00	1.0815
499.00	1.0846
500.00	1.0875
501.00	1.0903
502.00	1.0931
503.00	1.0956
504.00	1.0981
505.00	1.1006
506.00	1.1027
507.00	1.1046
508.00	1.1064
509.00	1.1080
510.00	1.1091
511.00	1.1104
512.00	1.1114
513.00	1.1119
514.00	1.1124
515.00	1.1127
516.00	1.1123
517.00	1.1114
518.00	1.1104
519.00	1.1091
520.00	1.1075
521.00	1.1059
522.00	1.1047
523.00	1.1032
524.00	1.1012
525.00	1.0990
526.00	1.0963
527.00	1.0932
528.00	1.0903
529.00	1.0866
530.00	1.0834
531.00	1.0808
532.00	1.0776
533.00	1.0746
534.00	1.0719
535.00	1.0694
536.00	1.0663
537.00	1.0639
538.00	1.0612
539.00	1.0590
540.00	1.0563
541.00	1.0540
542.00	1.0512
543.00	1.0485
544.00	1.0454
545.00	1.0428
546.00	1.0394
547.00	1.0361
548.00	1.0326
549.00	1.0287
550.00	1.0244
551.00	1.0199
552.00	1.0150
553.00	1.0095
554.00	1.0038
555.00	0.9973
556.00	0.9907
557.00	0.9834
558.00	0.9757
559.00	0.9675
560.00	0.9587
561.00	0.9491
562.00	0.9393
563.00	0.9292
564.00	0.9188
565.00	0.9081
566.00	0.8972
567.00	0.8861
568.00	0.8744
569.00	0.8627
570.00	0.8513
571.00	0.8395
572.00	0.8282
573.00	0.8168
574.00	0.8056
575.00	0.7948
576.00	0.7841
577.00	0.7737
578.00	0.7636
579.00	0.7540
580.00	0.7444
581.00	0.7355
582.00	0.7269
583.00	0.7189
584.00	0.7111
585.00	0.7037
586.00	0.6967
587.00	0.6901
588.00	0.6835
589.00	0.6775
590.00	0.6718
591.00	0.6661
592.00	0.6605
593.00	0.6553
594.00	0.6501
595.00	0.6450
596.00	0.6396
597.00	0.6339
598.00	0.6282
599.00	0.6222
600.00	0.6155
601.00	0.6087
602.00	0.6016
603.00	0.5937
604.00	0.5851
605.00	0.5760
606.00	0.5663
607.00	0.5560
608.00	0.5448
609.00	0.5336
610.00	0.5217
611.00	0.5092
612.00	0.4964
613.00	0.4830
614.00	0.4688
615.00	0.4544
616.00	0.4406
617.00	0.4282
618.00	0.4148
619.00	0.4004
620.00	0.3862
621.00	0.3718
622.00	0.3562
623.00	0.3423
624.00	0.3291
625.00	0.3158
626.00	0.3023
627.00	0.2894
628.00	0.2764
629.00	0.2644
630.00	0.2526
631.00	0.2413
632.00	0.2297
633.00	0.2184
634.00	0.2077
635.00	0.1977
636.00	0.1883
637.00	0.1794
638.00	0.1713
639.00	0.1633
640.00	0.1556
641.00	0.1481
642.00	0.1413
643.00	0.1348
644.00	0.1288
645.00	0.1230
646.00	0.1176
647.00	0.1125
648.00	0.1075
649.00	0.1029
650.00	0.0988
651.00	0.0947
652.00	0.0908
653.00	0.0871
654.00	0.0833
655.00	0.0796
656.00	0.0761
657.00	0.0732
658.00	0.0707
659.00	0.0687
660.00	0.0667
661.00	0.0651
662.00	0.0634
663.00	0.0618
664.00	0.0599
665.00	0.0584
666.00	0.0573
667.00	0.0558
668.00	0.0543
669.00	0.0528
670.00	0.0522
671.00	0.0509
672.00	0.0500
673.00	0.0491
674.00	0.0480
675.00	0.0460
676.00	0.0449
677.00	0.0435
678.00	0.0422
679.00	0.0412
680.00	0.0403
681.00	0.0394
682.00	0.0388
683.00	0.0381
684.00	0.0374
685.00	0.0367
686.00	0.0358
687.00	0.0348
688.00	0.0340
689.00	0.0334
690.00	0.0327
691.00	0.0326
692.00	0.0320
693.00	0.0316
694.00	0.0312
695.00	0.0313
696.00	0.0305
697.00	0.0299
698.00	0.0290
699.00	0.0285
700.00	0.0277
701.00	0.0274
702.00	0.0270
703.00	0.0274
704.00	0.0273
705.00	0.0266
706.00	0.0264
707.00	0.0261
708.00	0.0256
709.00	0.0251
710.00	0.0252
711.00	0.0251
712.00	0.0250
713.00	0.0245
714.00	0.0243
715.00	0.0240
716.00	0.0236
717.00	0.0233
718.00	0.0228
719.00	0.0225
720.00	0.0224
721.00	0.0223
722.00	0.0223
723.00	0.0223
724.00	0.0214
725.00	0.0212
726.00	0.0200
727.00	0.0196
728.00	0.0192
729.00	0.0196
730.00	0.0192
731.00	0.0198
732.00	0.0196
733.00	0.0194
734.00	0.0191
735.00	0.0186
736.00	0.0179
737.00	0.0177
738.00	0.0178
739.00	0.0179
740.00	0.0179
741.00	0.0184
742.00	0.0182
743.00	0.0179
744.00	0.0176
745.00	0.0174
746.00	0.0173
747.00	0.0170
748.00	0.0175
749.00	0.0174
750.00	0.0174
751.00	0.0175
752.00	0.0176
753.00	0.0171
754.00	0.0172
755.00	0.0173
756.00	0.0172
757.00	0.0170
758.00	0.0170
759.00	0.0169
760.00	0.0168
761.00	0.0166
762.00	0.0168
763.00	0.0170
764.00	0.0171
765.00	0.0172
766.00	0.0175
767.00	0.0173
768.00	0.0171
769.00	0.0171
770.00	0.0166
771.00	0.0159
772.00	0.0158
773.00	0.0157
774.00	0.0156
775.00	0.0160
776.00	0.0163
777.00	0.0163
778.00	0.0164
779.00	0.0165
780.00	0.0161
781.00	0.0159
782.00	0.0158
783.00	0.0158
784.00	0.0156
785.00	0.0159
786.00	0.0161
787.00	0.0160
788.00	0.0158
789.00	0.0158
790.00	0.0156
791.00	0.0154
792.00	0.0152
793.00	0.0147
794.00	0.0144
795.00	0.0140
796.00	0.0135
797.00	0.0128
798.00	0.0125
799.00	0.0118
800.00	0.0113
801.00	0.0110
802.00	0.0109
803.00	0.0105
804.00	0.0098
805.00	0.0092
806.00	0.0088
807.00	0.0084
808.00	0.0084
809.00	0.0082
810.00	0.0080
811.00	0.0078
812.00	0.0075
813.00	0.0070
814.00	0.0070
815.00	0.0071
816.00	0.0069
817.00	0.0072
818.00	0.0075
819.00	0.0078
820.00	0.0078
821.00	0.0078
822.00	0.0079
823.00	0.0078
824.00	0.0076
825.00	0.0076
826.00	0.0075
827.00	0.0074
828.00	0.0077
829.00	0.0079
830.00	0.0081
831.00	0.0087
832.00	0.0090
833.00	0.0092
834.00	0.0093
835.00	0.0093
836.00	0.0093
837.00	0.0093
