"20-30mM-1_Xylene20mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.1017
301.00	0.1026
302.00	0.1038
303.00	0.1051
304.00	0.1060
305.00	0.1066
306.00	0.1078
307.00	0.1091
308.00	0.1107
309.00	0.1124
310.00	0.1134
311.00	0.1144
312.00	0.1158
313.00	0.1171
314.00	0.1186
315.00	0.1207
316.00	0.1229
317.00	0.1248
318.00	0.1267
319.00	0.1285
320.00	0.1300
321.00	0.1317
322.00	0.1333
323.00	0.1351
324.00	0.1365
325.00	0.1381
326.00	0.1396
327.00	0.1411
328.00	0.1426
329.00	0.1443
330.00	0.1459
331.00	0.1472
332.00	0.1480
333.00	0.1496
334.00	0.1513
335.00	0.1531
336.00	0.1553
337.00	0.1578
338.00	0.1595
339.00	0.1612
340.00	0.1629
341.00	0.1644
342.00	0.1659
343.00	0.1676
344.00	0.1691
345.00	0.1706
346.00	0.1719
347.00	0.1732
348.00	0.1741
349.00	0.1750
350.00	0.1758
351.00	0.1766
352.00	0.1775
353.00	0.1782
354.00	0.1791
355.00	0.1797
356.00	0.1803
357.00	0.1808
358.00	0.1813
359.00	0.1815
360.00	0.1817
361.00	0.1818
362.00	0.1815
363.00	0.1820
364.00	0.1827
365.00	0.1835
366.00	0.1843
367.00	0.1856
368.00	0.1859
369.00	0.1864
370.00	0.1870
371.00	0.1883
372.00	0.1885
373.00	0.1889
374.00	0.1891
375.00	0.1890
376.00	0.1885
377.00	0.1889
378.00	0.1893
379.00	0.1896
380.00	0.1900
381.00	0.1904
382.00	0.1908
383.00	0.1917
384.00	0.1927
385.00	0.1938
386.00	0.1949
387.00	0.1961
388.00	0.1967
389.00	0.1972
390.00	0.1978
391.00	0.1984
392.00	0.1992
393.00	0.2001
394.00	0.2010
395.00	0.2017
396.00	0.2023
397.00	0.2026
398.00	0.2027
399.00	0.2031
400.00	0.2035
401.00	0.2042
402.00	0.2049
403.00	0.2060
404.00	0.2066
405.00	0.2074
406.00	0.2080
407.00	0.2087
408.00	0.2094
409.00	0.2102
410.00	0.2110
411.00	0.2118
412.00	0.2124
413.00	0.2131
414.00	0.2137
415.00	0.2142
416.00	0.2147
417.00	0.2151
418.00	0.2155
419.00	0.2155
420.00	0.2156
421.00	0.2155
422.00	0.2154
423.00	0.2150
424.00	0.2146
425.00	0.2141
426.00	0.2136
427.00	0.2132
428.00	0.2129
429.00	0.2126
430.00	0.2122
431.00	0.2119
432.00	0.2115
433.00	0.2112
434.00	0.2108
435.00	0.2105
436.00	0.2100
437.00	0.2094
438.00	0.2088
439.00	0.2082
440.00	0.2075
441.00	0.2068
442.00	0.2061
443.00	0.2055
444.00	0.2049
445.00	0.2043
446.00	0.2037
447.00	0.2031
448.00	0.2025
449.00	0.2020
450.00	0.2018
451.00	0.2016
452.00	0.2015
453.00	0.2016
454.00	0.2016
455.00	0.2017
456.00	0.2018
457.00	0.2019
458.00	0.2019
459.00	0.2020
460.00	0.2023
461.00	0.2025
462.00	0.2030
463.00	0.2032
464.00	0.2036
465.00	0.2037
466.00	0.2039
467.00	0.2040
468.00	0.2042
469.00	0.2042
470.00	0.2042
471.00	0.2045
472.00	0.2048
473.00	0.2051
474.00	0.2055
475.00	0.2061
476.00	0.2065
477.00	0.2070
478.00	0.2076
479.00	0.2081
480.00	0.2085
481.00	0.2090
482.00	0.2094
483.00	0.2099
484.00	0.2103
485.00	0.2105
486.00	0.2107
487.00	0.2108
488.00	0.2108
489.00	0.2108
490.00	0.2109
